index,expert,ref,property_url,image_url
92,Benoit,mbvap20009349,https://www.immobiliere-pujol.fr/annonces/mbvap20009349-13005-marseille-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/06/photo_70cb5c06f08c4e6a947d6705d73e1730-58.jpg"
94,Benoit,mbvap20009328,https://www.immobiliere-pujol.fr/annonces/mbvap20009328-13011-marseille-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/04/photo_811aaea60ababc6cddfcb090926490a0-18.jpg"
95,Benoit,spvap80009325,https://www.immobiliere-pujol.fr/annonces/spvap80009325-13006-marseille-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/04/photo_72e54a467af76efdc0128dac709a524f-83.jpg"
96,Benoit,spvap80009322,https://www.immobiliere-pujol.fr/annonces/spvap80009322-13005-marseille-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/04/photo_ea836cf5ade33575e044d6113d5cc43f-86.png"
97,Benoit,mbvim20009320,https://www.immobiliere-pujol.fr/annonces/mbvim20009320-13015-marseille-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/04/photo_045ce589413ad0d94a3c57927f8acdd5-100.jpg"
98,Benoit,spvap80009317,https://www.immobiliere-pujol.fr/annonces/spvap80009317-13006-marseille-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/04/photo_3716fd2d9a9fe770c28a6e5506bdb987-44.jpg"
99,Benoit,mbvap20009315,https://www.immobiliere-pujol.fr/annonces/mbvap20009315-13001-marseille-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/04/photo_91616542915b8ddad86b5a6fab7e4d9f-93.png"
100,Benoit,mbvap20009313,https://www.immobiliere-pujol.fr/annonces/mbvap20009313-13400-aubagne-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/03/photo_aa8c77d290ad159d9a1c1ee72b9980be-14.jpg"
101,Benoit,mbvap20009310,https://www.immobiliere-pujol.fr/annonces/mbvap20009310-13004-marseille-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/03/photo_60e85f76f25b2ce56270e7522d1c6922-40.jpg"
103,Benoit,mbvap20009298,https://www.immobiliere-pujol.fr/annonces/mbvap20009298-13004-marseille-france/,"https://www.immobiliere-pujol.fr/cdn-cgi/image/width=480,quality=75,format=auto,onerror=redirect/https://pub-ffb425c962e94d71bef4d2fbce95daee.r2.dev/2024/02/photo_caa5e3a5ce40ca74983c1d582e696c4c-52.jpg"
